type=transition
nodes=7
comment=Seven-node winner take-all

0 -> 0
1 -> 0
2 -> 0
3 -> 0
4 -> 0
5 -> 0
6 -> 0
7 -> 0
8 -> 0
9 -> 0
10 -> 0
11 -> 0
12 -> 0
13 -> 0
14 -> 0
15 -> 127
16 -> 0
17 -> 0
18 -> 0
19 -> 0
20 -> 0
21 -> 0
22 -> 0
23 -> 127
24 -> 0
25 -> 0
26 -> 0
27 -> 127
28 -> 0
29 -> 127
30 -> 127
31 -> 127
32 -> 0
33 -> 0
34 -> 0
35 -> 0
36 -> 0
37 -> 0
38 -> 0
39 -> 127
40 -> 0
41 -> 0
42 -> 0
43 -> 127
44 -> 0
45 -> 127
46 -> 127
47 -> 127
48 -> 0
49 -> 0
50 -> 0
51 -> 127
52 -> 0
53 -> 127
54 -> 127
55 -> 127
56 -> 0
57 -> 127
58 -> 127
59 -> 127
60 -> 127
61 -> 127
62 -> 127
63 -> 127
64 -> 0
65 -> 0
66 -> 0
67 -> 0
68 -> 0
69 -> 0
70 -> 0
71 -> 127
72 -> 0
73 -> 0
74 -> 0
75 -> 127
76 -> 0
77 -> 127
78 -> 127
79 -> 127
80 -> 0
81 -> 0
82 -> 0
83 -> 127
84 -> 0
85 -> 127
86 -> 127
87 -> 127
88 -> 0
89 -> 127
90 -> 127
91 -> 127
92 -> 127
93 -> 127
94 -> 127
95 -> 127
96 -> 0
97 -> 0
98 -> 0
99 -> 127
100 -> 0
101 -> 127
102 -> 127
103 -> 127
104 -> 0
105 -> 127
106 -> 127
107 -> 127
108 -> 127
109 -> 127
110 -> 127
111 -> 127
112 -> 0
113 -> 127
114 -> 127
115 -> 127
116 -> 127
117 -> 127
118 -> 127
119 -> 127
120 -> 127
121 -> 127
122 -> 127
123 -> 127
124 -> 127
125 -> 127
126 -> 127
127 -> 127

